Temperature,Fuel_Price,CPI,Weekly_Sales
72.45,2.87,227.57,43515.81
62.93,2.98,210.78,40756.79
74.72,3.5,228.7,44457.52
87.85,3.44,233.56,47994.08
61.49,3.19,224.13,42372.65
61.49,3.25,238.77,42849.25
88.69,3.71,212.26,43771.42
76.51,2.96,207.55,43930.58
57.96,3.42,202.21,42167.83
73.14,3.12,234.96,47036.08
58.05,3.11,226.54,41163.93
58.01,3.64,219.44,42619.53
68.63,3.53,222.8,43875.68
36.3,3.53,208.75,41426.18
39.13,3.72,244.46,41027.06
56.57,3.21,221.29,41836.53
49.81,3.47,221.09,41978.64
69.71,3.08,227.26,43279.51
51.38,3.33,224.81,40482.35
43.82,3.15,222.24,40109.13
86.98,3.24,212.1,46364.05
61.61,3.44,224.71,41033.83
66.01,2.87,238.82,42839.45
43.63,4.04,233.45,40795.42
56.83,2.8,235.93,43089.37
66.66,2.71,214.89,39188.02
47.74,3.66,210.1,39882.42
70.64,3.52,218.74,44128.22
55.99,3.45,220.56,44099.49
60.62,3.45,230.94,42623.37
55.97,3.2,203.08,39766.8
92.78,2.84,235.3,48479.34
64.8,3.23,218.42,40154.78
49.13,2.93,215.73,36500.59
77.34,3.59,209.88,44798.02
46.69,3.14,203.45,38639.72
68.13,2.87,228.23,40938.95
35.6,3.07,220.73,39689.73
45.08,3.37,207.1,40125.3
67.95,2.97,207.05,40935.88
76.08,2.87,216.64,41040.74
67.57,3.3,236.69,44824.69
63.27,3.3,217.4,43203.7
60.48,3.0,204.97,40707.64
42.82,3.01,217.54,42027.96
54.2,3.29,217.27,39511.67
58.09,2.62,193.03,37119.71
80.86,2.64,219.46,42195.74
70.15,2.91,217.69,42295.22
38.55,3.11,226.96,39667.41
69.86,3.32,238.49,43536.95
59.22,3.79,231.27,43707.28
54.85,3.54,217.31,39769.09
74.18,3.14,208.93,45076.45
80.46,3.19,245.73,45103.17
78.97,2.8,220.59,45015.94
52.41,3.19,220.14,41350.89
60.36,3.08,219.76,42262.73
69.97,3.33,221.98,44124.25
79.63,2.87,218.56,44135.56
57.81,3.41,214.26,42609.68
62.22,3.81,214.53,44899.33
48.4,3.16,219.67,40577.58
